name	status	consortium	phsId	library:dataUseRestriction	library:indication	library:studyDesign	library:datatype	subjectCount	bucketName	sampleCount	participantCount	familyCount	discoveryCount	bucketSize	requestorPays	NRES	GRU	HMB	IRB	PUB	COL	NPU	MDS	GSO	DS	diseaseText	consentLongName	consentTitle
AnVIL_CMG_Broad_Muscle_KNC_WGS	Released	 CMG	 Registration Pending	DS-NIC-EMP-LENF	Mendelian disorders	Parent-Offspring Trios	Whole Genome	14	fc-secure-004e5c03-d24d-4f7f-a26b-9fdc64b0ca3c	14	0	14	14	247651787624	True	False	False	False	False	False	False	False	False	False	NIC-EMP-LENF	No Insurance companies, employers, or the police until required by court order or by law	Use of the data must be related to No Insurance companies, employers, or the police until required by court order or by law.	Disease-specific research and clinical care (NIC-EMP-LENF)
anvil_ccdg_broad_ai_ibd_daly_niddk_cho_wes	Released	 CCDG	 phs001642	DS_IBD	inflammatory bowel disease	Case-Control	Exome	1966	fc-secure-00737009-4e0f-454d-bb02-4b70566a0ed2	1966	1966	0	0	2948127544067	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
AnVIL_CCDG_Broad_NP_Epilepsy_USABLC_GRU-NPU_WES	Released	 CCDG	 phs001489	GRU-NPU	epilepsy	Case Set	Exome	223	fc-secure-007d2d1a-cf4a-47ce-8d93-e47e843dbef5	223	223	0	0	403623651616	True	False	True	False	False	False	False	True	False	False			Use of the data is limited only by the terms of the Data Use Certification. Use of the data is limited to not-for-profit organizations.	General research use and clinical care (NPU)
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUBG_DS_EPI_NPU_MDS_WES	Released	 CCDG	 phs001489	DS-EPI-ADULT-NPU-MDS	epilepsy	Case set	Exome	605	fc-secure-01106611-a0e9-41bb-ac13-27683ab2fc19	605	605	0	0	871039931335	True	False	False	False	False	False	False	True	True	False	EPI-ADULT	Epilepsy - Adults	Use of the data must be related to Epilepsy - Adults. Use of the data is limited to not-for-profit organizations. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (EPI-ADULT, NPU, MDS)
AnVIL_CMG_BaylorHopkins_HMB-NPU_WES	Released	 CMG	 phs000711	HMB-NPU	Mendelian disorders	TBD	Exome	438	fc-secure-01716d0c-bf96-4d6d-8af1-b93079ba34cd	2054	0	0	0	31235007899169	True	False	False	True	False	False	False	True	False	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. Use of the data is limited to not-for-profit organizations.	Health/medical/biomedical research and clinical care (NPU)
AnVIL_CCDG_Broad_NP_Epilepsy_USAMGH_MGBB_HMB_MDS_WES	Released	 CCDG	 phs001489	HMB-MDS	epilepsy	Case Set	Exome	44	fc-secure-04e82709-08e0-4335-aaef-ba55089f6fd9	44	44	0	0	38715882859	True	False	False	True	False	False	False	False	True	False			Use of the data is limited to health/medical/biomedical purposes; does not include the study of population origins or ancestry. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Health/medical/biomedical research and clinical care (MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_BRAUSP_DS_WES	Released	 CCDG	 phs001489	DS-MBND-NPU-MDS	epilepsy	Case Set	Exome	4	fc-secure-050e8035-d169-4dc4-87e9-9846195f0bde	4	4	0	0	3348862535	True	False	False	False	False	False	False	True	True	False	MBND	Mental, Behavioral & Neurodevelopmental Disorders	Use of the data must be related to Mental, Behavioral & Neurodevelopmental Disorders. Use of the data is limited to not-for-profit organizations. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (MBND, NPU, MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_AUTMUV_DS_NS_WES	Released	 CCDG	 phs001489	DS-NSD-NPU-MDS	Epilepsy	Case Set	Exome	102	fc-secure-05b79189-851e-4ebb-927d-4139317599bb	102	102	0	0	89069182152	True	False	False	False	False	False	False	True	True	False	NSD	Nervous System Diseases	Use of the data must be related to Nervous System Diseases. Use of the data is limited to not-for-profit organizations. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (NSD, NPU, MDS)
AnVIL_CCDG_Broad_NP_Epilepsy_USACRW_EPI_ASZ_MED_MDS_WES	Released	 CCDG	 phs001489	DS-EPASM-MDS	epilepsy	Case Set	Exome	37	fc-secure-05e511c4-0b47-41a5-a361-99f747cbef6c	37	37	0	0	63174319021	True	False	False	False	False	False	False	False	True	False	EPASM	Epilepsy, Antiseizure Medicines	Use of the data must be related to Epilepsy, Antiseizure Medicines. The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).	Disease-specific research and clinical care (EPASM, MDS)
anvil_ccdg_broad_ai_ibd_daly_rioux_genizon_wes	Released	 CCDG	 phs001642	DS_IBD	inflammatory bowel disease	Case-Control	Exome	1921	fc-secure-06f82d83-65a2-4e4c-9314-1198fa72cf5e	1921	1921	0	0	3237704399782	True	False	False	False	False	False	False	False	False	False	IBD	Inflammatory Bowel Disease	Use of the data must be related to Inflammatory Bowel Disease.	Disease-specific research and clinical care (IBD)
